Brand,Name,Chipset,Score,Price,URL,Timestamp,Note
Intel,Core i7-12700F,LGA1700,-1,1139,https://brightstarcomp.com/collections/pc-components/products/intel-core-i7-12700f-lga1700-processor?_pos=38&_fid=d9d45494e&_ss=c,2025-03-18 22:10:08.565931,
Intel,Core i7-13700K,LGA1700,46335,1740,,,
Intel,Core i7-14700,LGA1700,-1,1539,https://brightstarcomp.com/collections/pc-components/products/intel-core-i7-14700-lga1700-processor?_pos=39&_fid=d9d45494e&_ss=c,2025-03-18 22:10:08.565931,
Intel,Core i7-14700F,LGA1700,-1,1439,https://brightstarcomp.com/collections/pc-components/products/intel-core-i7-14700f-lga1700-processor?_pos=40&_fid=d9d45494e&_ss=c,2025-03-18 22:10:08.565931,
Intel,Core i7-14700K,LGA1700,53140,1739,https://brightstarcomp.com/collections/pc-components/products/intel-core-i7-14700k-lga1700-processor?_pos=41&_fid=d9d45494e&_ss=c,2025-03-18 22:10:08.565931,
Intel,Core i7-14700KF,LGA1700,53636,1639,https://brightstarcomp.com/collections/pc-components/products/intel-core-i7-14700kf-lga1700-processor?_pos=42&_fid=d9d45494e&_ss=c,2025-03-18 22:10:08.565931,
Intel,Core i7-7700,LGA1151,8645,440,,,
Intel,Core i9 14900K,None,-1,2099,https://czone.my/czone/bx8071514900k-1739103182.html,2025-03-19 14:21:03.468618,
Intel,Core i9-12900KS,LGA1700,-1,1499,https://brightstarcomp.com/collections/pc-components/products/intel-core-i9-12900ks-lga1700-processor?_pos=43&_fid=d9d45494e&_ss=c,2025-03-18 22:10:08.565931,
Intel,Core i9-13900K,LGA1700,58904,2300,,,
Intel,Core i9-13900KF,LGA1700,58203,2300,,,
Intel,Core i9-13900KS,LGA1700,61424,2300,,,
Intel,Core i9-14900,LGA1700,-1,2729,https://brightstarcomp.com/collections/pc-components/products/intel-core-i9-14900-lga1700-processor?_pos=44&_fid=d9d45494e&_ss=c,2025-03-18 22:10:08.565931,
Intel,Core i9-14900F,LGA1700,-1,2689,https://brightstarcomp.com/collections/pc-components/products/intel-core-i9-14900f-lga1700-processor?_pos=45&_fid=d9d45494e&_ss=c,2025-03-18 22:10:08.565931,
Intel,Core i9-14900K,LGA1700,-1,2199,https://brightstarcomp.com/collections/pc-components/products/intel-core-i9-14900k-lga1700-processor?_pos=46&_fid=d9d45494e&_ss=c,2025-03-18 22:10:08.565931,
Intel,Core i9-14900KF,LGA1700,59263,2099,https://brightstarcomp.com/collections/pc-components/products/intel-core-i9-14900kf-lga1700-processor-1?_pos=47&_fid=d9d45494e&_ss=c,2025-03-18 22:10:08.565931,
Intel,Core i9-14900KS,LGA1700,-1,3299,https://brightstarcomp.com/collections/pc-components/products/intel-core-i9-14900ks-lga1700-processor?_pos=48&_fid=d9d45494e&_ss=c,2025-03-18 22:10:08.565931,
Intel,Pentium Gold G7400,LGA1700,-1,409,https://brightstarcomp.com/collections/pc-components/products/intel-pentium-gold-g7400-lga1700-processor?_pos=54&_fid=d9d45494e&_ss=c,2025-03-18 22:10:09.453439,
