Brand,Name,Size,Price,URL,Timestamp,Note
Invasion,Genesis-M,Micro-ATX,RM 209.00,https://brightstarcomp.com/collections/pc-components/products/invasion-genesis-m-micro-atx-pc-chassis?_pos=82&_fid=559632eaf&_ss=c,2025-03-18 22:12:13.717478,
Invasion,GT-205,ATX,RM 169.00,https://brightstarcomp.com/collections/pc-components/products/invasion-gt-205-mid-tower-atx-pc-chassis?_pos=83&_fid=559632eaf&_ss=c,2025-03-18 22:12:13.717478,Mid-Tower
Invasion,M-2000   - Black,Micro-ATX,RM 159.00,https://brightstarcomp.com/collections/pc-components/products/invasion-m-2000-micro-atx-pc-chassis-black?_pos=84&_fid=559632eaf&_ss=c,2025-03-18 22:12:13.717478,
Invasion,M-7 Steel   - Black,Micro-ATX,RM 89.00,https://brightstarcomp.com/collections/pc-components/products/invasion-m-7-steel-micro-atx-pc-chassis-black?_pos=85&_fid=559632eaf&_ss=c,2025-03-18 22:12:13.717478,
Lian Li,A3,Micro-ATX,From RM 319.00 to RM 329.00,https://brightstarcomp.com/collections/pc-components/products/lian-li-a3-micro-atx-pc-chassis?_pos=86&_fid=559632eaf&_ss=c,2025-03-18 22:12:13.717478,
Lian Li,A4-H2O    - Silver,Mini-ITX,RM 679.00,https://brightstarcomp.com/collections/pc-components/products/lian-li-a4-h2o-pcie-4-0-mini-itx-pc-chassis-silver?_pos=87&_fid=559632eaf&_ss=c,2025-03-18 22:12:13.717478,PCIE 4.0
Lian Li,Lancool 205 Mesh,ATX,From RM 339.00 to RM 349.00,https://brightstarcomp.com/collections/pc-components/products/lian-li-lancool-205-mesh-mid-tower-atx-pc-chassis?_pos=88&_fid=559632eaf&_ss=c,2025-03-18 22:12:13.718478,Mid-Tower
Lian Li,Lancool 205M Mesh,Micro-ATX,From RM 219.00 to RM 229.00,https://brightstarcomp.com/collections/pc-components/products/lian-li-lancool-205m-mesh-micro-atx-pc-chassis?_pos=89&_fid=559632eaf&_ss=c,2025-03-18 22:12:13.718478,
Lian Li,Lancool 207 RGB,ATX,From RM 339.00 to RM 349.00,https://brightstarcomp.com/collections/pc-components/products/lian-li-lancool-207-rgb-mid-tower-atx-pc-chassis?_pos=90&_fid=559632eaf&_ss=c,2025-03-18 22:12:13.718478,Mid-Tower
Lian Li,Lancool 215X,ATX,From RM 339.00 to RM 349.00,https://brightstarcomp.com/collections/pc-components/products/lian-li-lancool-215x-mid-tower-atx-pc-chassis?_pos=91&_fid=559632eaf&_ss=c,2025-03-18 22:12:13.718478,Mid-Tower
Lian Li,Lancool 216 RGB,ATX,From RM 459.00 to RM 479.00,https://brightstarcomp.com/collections/pc-components/products/lian-li-lancool-216-rgb-mid-tower-atx-pc-chassis?_pos=92&_fid=559632eaf&_ss=c,2025-03-18 22:12:13.718478,Mid-Tower
Lian Li,Lancool III ARGB,ATX,From RM 639.00 to RM 659.00,https://brightstarcomp.com/collections/pc-components/products/lian-li-lancool-iii-argb-mid-tower-atx-pc-chassis?_pos=93&_fid=559632eaf&_ss=c,2025-03-18 22:12:13.718478,Mid-Tower
